ADDRESS,Data Split,PROPERTY TYPE,PredictedPrice,PRICE
3580 Waverly Cir,CV,Single Family Residential,1050874.0,1250000
201 Matties Way,CV,Single Family Residential,1612123.0,1250000
301 Sand Myrtle Trl,CV,Single Family Residential,1075842.0,1250000
276 Corinthian Pl,CV,Single Family Residential,1304391.0,1230000
4453 Ocean View Dr,CV,Single Family Residential,988234.0,1202000
4473 Ocean View Dr,CV,Single Family Residential,1142586.0,1200000
90 Terra Cotta Way,CV,Single Family Residential,1213151.0,1200000
609 Calhoun Ave,CV,Single Family Residential,1420672.0,1200000
77 Stingray St,CV,Single Family Residential,1085026.0,1175000
87 Matthew Blvd,CV,Single Family Residential,1087446.0,1146000
3619 Waverly Cir,CV,Single Family Residential,1186287.0,1130000
4551 Village Way,CV,Single Family Residential,1019717.0,1115000
4399 Old Bayou Trl,CV,Single Family Residential,1170555.0,1060000
4501 Luke Ave,CV,Single Family Residential,950981.0,1050000
4706 Lantana Ln,CV,Single Family Residential,1054890.0,1050000
261 Leaning Pines Loop,CV,Single Family Residential,824421.0,1025000
212 Mattie's Way,CV,Single Family Residential,1042524.0,1025000
4486 Luke Ave,CV,Single Family Residential,977774.0,1015000
4307 Carriage Ln,CV,Single Family Residential,884234.0,995000
4505 Pottery Pl,CV,Single Family Residential,1088729.0,975000
205 Tahitian Way,CV,Single Family Residential,942234.0,960000
4116 Indian Trl,CV,Single Family Residential,897031.0,950000
92 Cayman Cv,CV,Single Family Residential,1141794.0,947000
20 Jade Cv,CV,Single Family Residential,932728.0,943250
90 Sunfish St,CV,Single Family Residential,916410.0,925000
156 Baywinds Dr,CV,Single Family Residential,861084.0,925000
4439 Luke Ave,CV,Single Family Residential,850173.0,925000
226 Kono Way,CV,Single Family Residential,1004754.0,889000
200 W Grand Key Loop,CV,Single Family Residential,893157.0,885000
33 E Country Club Dr,CV,Single Family Residential,927563.0,875000
4481 C Luke Ave,CV,Single Family Residential,827833.0,875000
4587 Sailmaker Ln,CV,Single Family Residential,716187.0,855000
4046 Lauren Ct,CV,Single Family Residential,868852.0,850000
422 Baywinds Dr,CV,Single Family Residential,782717.0,840000
4064 Burning Tree Dr,CV,Single Family Residential,741166.0,828000
275 Baywinds Dr,CV,Single Family Residential,771906.0,826000
4734 Papaya Park Park,CV,Single Family Residential,842303.0,810000
62 E Country Club Dr,CV,Single Family Residential,871312.0,806500
4457 Clipper Cv,CV,Single Family Residential,949992.0,800000
4030 Indian Trl,CV,Single Family Residential,671291.0,785000
809 Mars St,CV,Single Family Residential,741121.0,752000
261 Tequesta Dr,CV,Single Family Residential,673059.0,751400
69 Crystal Beach Dr Unit 7,CV,Single Family Residential,757784.0,750000
4736 Amhurst Cir,CV,Single Family Residential,781934.0,745000
276 Baywinds Dr,CV,Single Family Residential,659775.0,730000
56 E Country Club Dr,CV,Single Family Residential,782071.0,725000
805 Kell Aire Dr,CV,Single Family Residential,672031.0,700000
1213 Quail Lake Blvd,CV,Single Family Residential,715652.0,700000
4571 Woodwind Pl,CV,Single Family Residential,659341.0,698000
9 Cahaba Ln,CV,Single Family Residential,692787.0,690000
390 Terrapin Trce,CV,Single Family Residential,710010.0,690000
106 Fletcher Way,CV,Single Family Residential,721005.0,687900
704 Harbor Ln,CV,Single Family Residential,755610.0,685000
4663 Sunsail Cir,CV,Single Family Residential,691141.0,675000
3991 Lauren Ct,CV,Single Family Residential,590780.0,675000
419 Ridge Wood Cir,CV,Single Family Residential,656500.0,672000
265 Tequesta Dr,CV,Single Family Residential,704811.0,670000
69 Crystal Beach Dr Unit 15,CV,Single Family Residential,757784.0,650000
4555 Woodwind Dr,CV,Single Family Residential,728300.0,645000
4635 Sunsail Cir,CV,Single Family Residential,697293.0,640000
804 Harbor Ln,CV,Single Family Residential,595916.0,635000
66 Garnet Pl,CV,Single Family Residential,700528.0,630000
105 Fletcher Way,CV,Single Family Residential,600849.0,627000
101 Fletcher Way,CV,Single Family Residential,600849.0,627000
29 Kristin Cv,CV,Single Family Residential,693667.0,625000
270 Chipola Cv,CV,Single Family Residential,658847.0,625000
1200 Bay Ct,CV,Single Family Residential,568948.0,619000
4015 Drifting Sand Trl,CV,Single Family Residential,547366.0,606000
4016 Drifting Sand Trl,CV,Single Family Residential,563640.0,605000
278 Calusa Blvd,CV,Single Family Residential,667400.0,600000
149 Kel Wen Cir,CV,Single Family Residential,628302.0,590000
4624 Windstarr Dr,CV,Single Family Residential,691141.0,590000
4093 Drifting Sand Trl,CV,Single Family Residential,612341.0,590000
808 Dawn Ln,CV,Single Family Residential,630049.0,579000
202 Kel Wen Cir,CV,Single Family Residential,609143.0,575000
168 Kel-Wen Cir,CV,Single Family Residential,614945.0,575000
843 Kell Aire Dr,CV,Single Family Residential,653718.0,575000
503 Baywood Ct,CV,Single Family Residential,503199.0,567000
4019 Drifting Sand Trl,CV,Single Family Residential,552916.0,563000
244 Okeechobee Cv,CV,Single Family Residential,536154.0,550000
106 Tuscany Dr,CV,Single Family Residential,569239.0,550000
4091 Drifting Sand Trl,CV,Single Family Residential,515335.0,548000
4005 Drifting Sand Trl,CV,Single Family Residential,539942.0,545000
216 Calusa Blvd,CV,Single Family Residential,469587.0,540000
4018 Lauren Ct,CV,Single Family Residential,647616.0,535000
4087 Drifting Sand Trl,CV,Single Family Residential,506804.0,525000
242 Calusa Blvd,CV,Single Family Residential,491355.0,520000
4721 Amhurst Cir,CV,Single Family Residential,543849.0,505000
94 Mantero Way,CV,Single Family Residential,540170.0,499900
4691 Amhurst Cir,CV,Single Family Residential,554575.0,495000
46 E Country Club Dr,CV,Single Family Residential,546089.0,490000
4066 Drifting Sand Trl,CV,Single Family Residential,505224.0,487500
302 Liriope Loop,CV,Single Family Residential,504069.0,485000
319 Primrose Pl,CV,Single Family Residential,444892.0,485000
859 Kell Aire Dr,CV,Single Family Residential,407998.0,480000
618 Benning Dr,CV,Single Family Residential,502913.0,475000
347 Skyler Run,CV,Single Family Residential,491587.0,469900
307 Summit Dr,CV,Single Family Residential,487558.0,460000
229 Inverrary Dr,CV,Single Family Residential,477798.0,460000
614 4th St,CV,Single Family Residential,500193.0,460000
268 Twin Lakes Ln,CV,Single Family Residential,404167.0,425000
815 Jupiter St,CV,Single Family Residential,423014.0,420000
269 Twin Lakes Ln,CV,Single Family Residential,413840.0,420000
514 Third Ave,CV,Single Family Residential,439152.0,415000
613 Sea Oats Dr,CV,Single Family Residential,454919.0,415000
4675 Amhurst Cir,CV,Single Family Residential,398101.0,410000
255 Twin Lakes Ln,CV,Single Family Residential,424094.0,410000
3773 Misty Way,CV,Single Family Residential,431598.0,410000
3812 Misty Way,CV,Single Family Residential,447284.0,405000
500 Kelly St,CV,Single Family Residential,426135.0,400000
145 Lola Cir,CV,Single Family Residential,362772.0,395000
229 Twin Lakes Dr,CV,Single Family Residential,387603.0,383000
181 Bent Arrow Dr,CV,Single Family Residential,332434.0,359000
334 Stahlman Ave,CV,Single Family Residential,428731.0,339900
606 Legion Dr,CV,Single Family Residential,346500.0,330000
88 Log Pl,CV,Single Family Residential,352756.0,330000
92 Cord Pl,CV,Single Family Residential,323440.0,315000
3863 Indian Trl Unit 104,CV,Single Family Residential,361125.0,305000
1217 Quail Lake Blvd,CV,Single Family Residential,411263.0,285000
